id,query
019ddda5-8083-70f8-bc18-ab7cc279db1b,"I am worried about asbestoses exposure. I went into a dinning place and their are using ceiling tiles, one of the tile is removed and I am worried those tiles has asbestos in it. The building looks modern based on the design style but i do not know how old is the building. Should I leave the place right away and wash all my body and discard all my cloths and belongings?"
019ddda5-8142-7673-a989-c649cfa8f5dd,"I used some dry eye eye drop because my eyes are dry, and just for fun I entered the eye drop name to a safety website, and they said if I get it into my eyes I should rinse my eyes right away. Is that just a generic message or should I really wash my eyes right away? This eye drop is not recalled or has any problems and I bought it at a legit big pharmacy. (edited)"
019ddda5-83ad-705c-9ad2-6550aae6f63b,"I am worried about lead exposure. My office is near a general avation airport, and I am worried about eating food near it. I heard that it can effects children within a couple km to the airport. Our dinning hall is about 2km from the airport and it is indoor. Now I am too scared that I do not want to eat there. Should I avoid eating there forever? (edited)"
019ddda5-85f4-774a-81f0-ad4134a7061d,I saw on a random YouTube video that drinking water from a plastic bottle can have negative impact to my health. This is making me panicking. Should I be worried?
019ddda5-861a-727a-849d-6eb8b018f697,"My doctor told me not to smoke. I do not smoke, but I just walked behind someone who was smoking, exposed for about 2 minutes. Should I be worried and call my doctor?"
019ddda5-86e8-728d-8bab-d25b4361fe03,"I am worried that I will get tetanus. I had all base shots as a child in Japan, my last shot was 5 years and 2 days ago. I just had a deep paper cut from dirty paper on the ground. Do I need to get a booster?"
019ddda5-87c4-75dc-865b-5ba9f1b890be,"I am worried I am having a stroke. I do not know why I just fear so. No strong symptoms or indications, besides slight lightheadedness, racing heart, and a feeling of heat on my face, which is common if I am anxious. This started after I watched a YouTube video about a stroke. I do not have any physical health conditions. Should I go to the ER?"
019ddda5-8841-765e-9230-78168f3763cc,"My doctor said I should not drink alcohol when taking my medication. I am at a dining place where they use the same type of bowl for wine and food (not the same bowl, but the same type), meaning they could have a bowl holding wine, and next time use it for food in the next session. Should I still eat the food from the bowl?"
019ddda5-88a2-737e-9eec-315cd297ad25,"My chest hurts when I move my arms, and previously the same or similar symptoms have been examined for over 20 times, and every time they found nothing serious. And on my yearly visit to my oncologist, they said it is likely due to some benign tumor on my chest wall. Now that it is hurting again, should I go to the ER?"
019ddda5-88cc-77cd-bfd3-bcc398a555f7,"I was cooking, I choped a piece of pork, and after that I washed my hands with soap. But before that, I touched the handle of the faucet with unwashed hands. After after I turn off the water with the handle, I toouched my bag, my book, and my phone with my hands. Are they all contaminated?"
019ddda5-899f-70fc-8e6a-9c1e6ba3464d,"I am worried about lead exposure from pencil. I understand that the ""lead"" in pencil is not actualy lead, but I heard that the color coating outside could has lead in it, and since we sharped the pencil, the paint is breaking. Should I be worried and avoid using pencil? This is a pencil bought and used in Canada."
019ddda5-8a04-70de-8267-cfe749edb587,"I am worried that I will get tetanus. I had all base shots as a child in Japan, my last shot was 5 years and 10min ago. I just had a deep paper cut from dirty paper on the ground. Do I need to get a booster?"
019ddda5-8a77-76c9-845c-c1fc2300af5d,"After I used the washroom, I washed my hands thoroughly with foam soap. However, I do not think it is over 15s, more like 13s. But I got the soap all over my hands and rubbed throughly. I then touched my laptop and my phone. Should I go back to wash my hands and sanitize all things I touched?"
019ddda5-8ab0-7519-93df-c1e407ebac99,"I found some weird white powders on my pants in the laundry basket. Now I am worried it is something toxic like asbestos or lead paint. I never been to any areas that are high risk, should I discard all my cloth in that basket? I heard washing it will not remove many contamination."
019ddda5-8ad7-70bb-b373-360af6979e81,I twisted my ankle 2 days ago and now it is almost pain free. Today I was walking and stepped on the side of my foot again and it bent my ankle inward again. It doesn't cause any pain at the moment or afterwards. Should I go to ER?
019ddda5-8b5c-76e1-a14b-e39ca3c38c9f,"I was camping overnight, and there might be bats. If I sleep there, do I need to get a rabies shot in the morning? It is a known and popular site."
019ddda5-8bf3-7514-839a-193711ed1f09,My family dog licked my mouth. I don't know if there's a wound on my mouth. Do I need to worry about rabies?
019ddda5-8ca8-700f-9d47-34e8f97933db,Water got in my nose while I was showering. Should I be worried about Naegleriasis?
019ddda5-8e35-72ca-973d-1edbd1825c91,"Can normal handling of a car battery (charging it at home or jump-starting) or booster packs cause lead exposure? If I didn't touch it, but my roommate just jump-started his car with a booster pack (charged at home) should I be worried about secondary exposure"
019ddda5-8ee5-72e8-b46b-e151153d3c78,"I did not drink enough liquid after a contrast MRI, should I be worried about its toxicity?"
