"origin","model"
"ID-0001","openai/gpt-5-chat"
"ID-0002","openai/gpt-3.5-turbo"
"ID-0003","anthropic/claude-3.7-sonnet"
"ID-0004","anthropic/claude-sonnet-4"
"ID-0005","openai/gpt-5-chat"
"ID-0006","google/gemini-2.0-flash-001"
"ID-0007","openai/gpt-4o-2024-05-13"
"ID-0008","gemma-3-4b-it"
"ID-0009","openai/gpt-5-chat"
"ID-0010","openai/gpt-4-turbo"
"ID-0011","google/gemini-2.0-flash-001"
"ID-0012","google/gemini-2.0-flash-001"
"ID-0013","openai/gpt-3.5-turbo"
"ID-0014","google/gemini-2.5-flash"
"ID-0015","anthropic/claude-3.7-sonnet"
"ID-0016","medgemma-1.5-4b-it"
"ID-0017","google/gemini-2.0-flash-001"
"ID-0018","gemma-3-4b-it"
"ID-0019","google/gemini-3-flash-preview"
"ID-0020","gemma-3-4b-it"
"ID-0021","openai/gpt-4-turbo"
"ID-0022","openai/gpt-4.1"
"ID-0023","anthropic/claude-sonnet-4"
"ID-0024","openai/gpt-4.1"
"ID-0025","openai/gpt-3.5-turbo"
"ID-0026","openai/gpt-5-chat"
"ID-0027","openai/gpt-4-turbo"
"ID-0028","anthropic/claude-3.7-sonnet"
"ID-0029","openai/gpt-4o-2024-05-13"
"ID-0030","google/gemini-3-flash-preview"
"ID-0031","openai/gpt-4.1"
"ID-0032","openai/gpt-4.1"
"ID-0033","openai/gpt-3.5-turbo"
"ID-0034","google/gemini-2.5-flash"
"ID-0035","x-ai/grok-4.20"
"ID-0036","openai/gpt-4o-2024-05-13"
"ID-0037","x-ai/grok-4.20"
"ID-0038","anthropic/claude-3.7-sonnet"
"ID-0039","openai/gpt-4o-2024-11-20"
"ID-0040","openai/gpt-3.5-turbo"
"ID-0041","anthropic/claude-sonnet-4.6"
"ID-0042","gemma-3-4b-it"
"ID-0043","openai/gpt-5.3-chat"
"ID-0044","openai/gpt-4-turbo"
"ID-0045","openai/gpt-5-chat"
"ID-0046","gemma-3-4b-it"
"ID-0047","anthropic/claude-3.5-haiku"
"ID-0048","anthropic/claude-sonnet-4"
"ID-0049","google/gemini-3-flash-preview"
"ID-0050","openai/gpt-5.3-chat"
"ID-0051","openai/gpt-3.5-turbo"
"ID-0052","google/gemini-3-flash-preview"
"ID-0053","x-ai/grok-4.20"
"ID-0054","google/gemini-2.5-flash"
"ID-0055","google/gemini-2.5-flash"
"ID-0056","openai/gpt-5-chat"
"ID-0057","openai/gpt-4-turbo"
"ID-0058","openai/gpt-4.1"
"ID-0059","openai/gpt-4-turbo"
"ID-0060","x-ai/grok-4.20"
"ID-0061","openai/gpt-5-chat"
"ID-0062","x-ai/grok-4.20"
"ID-0063","anthropic/claude-3.5-haiku"
"ID-0064","google/gemini-2.0-flash-001"
"ID-0065","google/gemini-2.5-flash"
"ID-0066","openai/gpt-3.5-turbo"
"ID-0067","openai/gpt-5.3-chat"
"ID-0068","gemma-3-4b-it"
