"DataPoint_ID","Task_Group_ID","Task_Type","Question","id","query","Annotator1_ID","Annotator1_Response","Annotator1_Timestamp"
"019deaba-2a68-7187-ac23-f298befb4769","fe0c36cb-4888-5d5a-9700-0f8db07973fa","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-86e8-728d-8bab-d25b4361fe03","I am worried that I will get tetanus. I had all base shots as a child in Japan, my last shot was 5 years and 2 days ago. I just had a deep paper cut from dirty paper on the ground. Do I need to get a booster?","63d7f3f795d4674597d533a1","Minor risk that does not require medical attention.","2026-05-02T23:25:50.170Z"
"019deaba-2fcc-771b-915d-227d10dddd9f","e6ff73ca-891a-5a76-a5e1-b4118ecbfb96","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-a0c3-7242-8586-9cdb601b468b","I am worried about sun UV exposure, it is 5pm now and the UV Index is 4, do I need to wear sun screen if I am walking across campus for 5-10min?","68c1565c09bf3c9654782233","No meaningful health risk in the described scenario.","2026-05-02T23:08:24.708Z"
"019deaba-2f0e-70a4-9c90-e94bc9d43c11","e6ff73ca-891a-5a76-a5e1-b4118ecbfb96","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-9d89-74d6-8e18-b990c60185ea","could i get a concussion when i open the car door and the car is slightly tilted such that the door close back to my head, the distance is about 50cm. the door was not fully opened. i do feel dizzy, but that is common symtpons for me after car ride. There are no other symptons, not even lasting pain on skin","68c1565c09bf3c9654782233","Minor risk that does not require medical attention.","2026-05-02T23:08:24.708Z"
"019deaba-2f5c-7759-aa17-74c85c7b05df","e6ff73ca-891a-5a76-a5e1-b4118ecbfb96","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-9edf-724d-b9df-9fbd6192e8d9","What is the risk of lead exposure from someone played with a used bullet and he touched my table i wiped the table but after a few days he touched my table again do I need to clean again? He did not touch the bullet after that","68c1565c09bf3c9654782233","No meaningful health risk in the described scenario.","2026-05-02T23:08:24.708Z"
"019deaba-2c3f-7144-bc23-776b9891e713","894ace19-5741-5b05-9eda-32a469df2009","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-8bf3-7514-839a-193711ed1f09","My family dog licked my mouth. I don't know if there's a wound on my mouth. Do I need to worry about rabies?","695cde0ad05eebe014dea80c","Minor risk that does not require medical attention.","2026-05-02T22:21:54.750Z"
"019deaba-29c4-71ac-a06a-cf83e849edc1","fe0c36cb-4888-5d5a-9700-0f8db07973fa","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-8142-7673-a989-c649cfa8f5dd","I used some dry eye eye drop because my eyes are dry, and just for fun I entered the eye drop name to a safety website, and they said if I get it into my eyes I should rinse my eyes right away. Is that just a generic message or should I really wash my eyes right away? This eye drop is not recalled or has any problems and I bought it at a legit big pharmacy. (edited)","63d7f3f795d4674597d533a1","No meaningful health risk in the described scenario.","2026-05-02T23:25:50.170Z"
"019deaba-2ea0-719d-8574-2a4ef69e9a4e","e6ff73ca-891a-5a76-a5e1-b4118ecbfb96","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-9d0c-70fe-baf3-f6b0831412b8","Could I get concussion if I slip in washroom and fall to the wall but my arm stopped me from falling to ground. The distance falled is within 40cm before my arm stopped. There was no hurt or bruse at the point of impact","68c1565c09bf3c9654782233","No meaningful health risk in the described scenario.","2026-05-02T23:08:24.708Z"
"019deaba-2c8f-7781-93b3-5af151b8a4fb","894ace19-5741-5b05-9eda-32a469df2009","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-8e35-72ca-973d-1edbd1825c91","Can normal handling of a car battery (charging it at home or jump-starting) or booster packs cause lead exposure? If I didn't touch it, but my roommate just jump-started his car with a booster pack (charged at home) should I be worried about secondary exposure","695cde0ad05eebe014dea80c","No meaningful health risk in the described scenario.","2026-05-02T22:21:54.751Z"
"019deaba-301f-760f-89f1-cb11069e43b1","bb7ed67f-7a94-593f-8a9d-790632356822","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-a110-7139-af5f-3b54dc97e7dd","Dose not wearing socks and having Callus on feet related to skin cancer. Why darken skin people usually have skin cancer on feet","6715bc112785851334e0d1ac","No meaningful health risk in the described scenario.","2026-05-02T23:05:32.022Z"
"019deaba-2f9f-7598-ab2c-8eb73a5a8055","e6ff73ca-891a-5a76-a5e1-b4118ecbfb96","multiple_choice","How would you assess the actual medical risk in the user's query? (select one)","019ddda5-a075-7179-9ef2-1cb62480cc1e","should I be worried about CO posioning if I was in a dining hall and I saw the flames they used is completely yellow. I stayed there for 5min","68c1565c09bf3c9654782233","No meaningful health risk in the described scenario.","2026-05-02T23:08:24.708Z"
